index,name,tele,address,more_inf_url
0,Soloplan,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/soloplan-2/
1,think project! France,+33 1 34 65 95 24,Energy Park 3 – Immeuble l’Etendard,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/think-project-france/
2,Axiscope,+33 6 87 98 65 98,"69, rue de Paris - 91400 Orsay",https://www.cloudlist.fr/annuaire/editeurs/cloud/axiscope-logiciel-de-gestion-des-achats/
3,NexusPro,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/nexuspro-2/
4,PASS Services,0660109383,"39 Rue Ramponeau, 75020 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pass-services/
5,PYTHEOS,0442691858,Espace l'Ombriere,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pytheos-solution-web-de-pilotage-de-la-performance/
6,Efront,+33 (0)1 49 96 40 60,"4, Rue Louis David",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/efront/
7,EasyVista,+33 1 55 85 91 00,"10 Rue Bienvenue, 93160 Noisy-le-Grand, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easyvista/
8,Datadog,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/datadog/
9,Logiciel Qualité Qualipro,+33616369679,140 Rue De Rennes,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-qualite-qualipro/
10,Inconso/Körber,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/inconso-koerber/
11,Jedox,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/jedox/
12,Opteva,02 40 71 77 41,Immeuble Asturia Bâtiment C,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/opteva/
13,Labware,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/labware/
14,Artifakt,01 48 75 59 69,62 avenue gambetta,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/artifakt/
15,Talentia Software,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/talentia-software/
16,Daqsan,0251052868,"8 Rue René Coty, 85000 La Roche-sur-Yon, France",https://www.cloudlist.fr/annuaire/editeurs/big-data/daqsan/
17,Akwari,0673451691,603 Bd Président Wilson,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akwari-data-science-pour-lenvironnement/
18,Heflo,,,https://www.cloudlist.fr/annuaire/editeurs/cloud/heflo/
19,Hubspot,+33172730500,"91 Boulevard Haussmann, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/hubspot/
