index,name,tele,address,more_inf_url,email,web_site_url
0,Soloplan,['+49 831 574070'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/soloplan-2/,,https://www.soloplan.fr/
1,think project! France,['+33 1 34 65 95 24'],Energy Park 3 – Immeuble l’Etendard,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/think-project-france/,,https://www.thinkproject.com/fr/accueil/
2,Axiscope,['+33 6 87 98 65 98'],"69, rue de Paris - 91400 Orsay",https://www.cloudlist.fr/annuaire/editeurs/cloud/axiscope-logiciel-de-gestion-des-achats/,,https://www.axiscope.com/
3,NexusPro,['+92 42 3578 1941-42'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/nexuspro-2/,,https://www.nexuspro.pk/
4,PASS Services,['0660109383'],"39 Rue Ramponeau, 75020 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pass-services/,yannick@pass-services.com,https://pass-services.com
5,PYTHEOS,['0442691858'],Espace l'Ombriere,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/pytheos-solution-web-de-pilotage-de-la-performance/,contact@pytheos.com,https://www.pytheos.com
6,Efront,['+33 (0)1 49 96 40 60'],"4, Rue Louis David",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/efront/,,https://www.efront.com/
7,EasyVista,['+33 1 55 85 91 00'],"10 Rue Bienvenue, 93160 Noisy-le-Grand, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/easyvista/,,https://www.easyvista.com/fr/
8,Datadog,['+1 866-329-4466'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/datadog/,,https://www.datadoghq.com/
9,Logiciel Qualité Qualipro,['+33616369679'],140 Rue De Rennes,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-qualite-qualipro/,marketing@saphirconsult.com,https://qualipro-qms.com/
10,Inconso/Körber,['04 15 45 94 20'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/inconso-koerber/,,https://www.inconso.com/fr/home
11,Jedox,['01 86 47 79 76'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/jedox/,,https://www.jedox.com/fr/plateforme/
12,Opteva,['02 40 71 77 41'],Immeuble Asturia Bâtiment C,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/opteva/,,https://opteva.fr/
13,Labware,['01 69 18 72 72'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/labware/,,https://www.labware.com/fr/
14,Artifakt,['01 48 75 59 69'],62 avenue gambetta,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/artifakt/,,http://www.artifakt.io
15,Talentia Software,['04 72 14 19 00'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/talentia-software/,,https://www.talentia-software.com/fr/
16,Daqsan,['0251052868'],"8 Rue René Coty, 85000 La Roche-sur-Yon, France",https://www.cloudlist.fr/annuaire/editeurs/big-data/daqsan/,contact@daqsan.fr,https://daqsan.com/fr/?utm_source=cloudlist&utm_medium=Annuaires&utm_campaign=cloudlist
17,Akwari,['0673451691'],603 Bd Président Wilson,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/akwari-data-science-pour-lenvironnement/,,https://akwari.org
18,Heflo,['+32 2 320 20 11'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/heflo/,,https://www.heflo.com/fr/
19,Hubspot,['+33172730500'],"91 Boulevard Haussmann, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/hubspot/,,https://www.hubspot.fr/
20,Loré,['0184192470'],18 B rue de la Réole,https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/solutions-metier-pour-les-entreprises-immobilieres/,achat@lore-finance.com,https://www.lore-finance.com/
21,Price Observatory,['01 84 20 33 05'],28 Avenue de Maurin,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/price-observatory/,,https://www.price-observatory.com/fr/
22,Jamespot,['01 48 58 18 01'],"66 Rue Marceau, 93100 Montreuil, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/jamespot/,info@jamespot.com,https://www.fr.jamespot.com/?utm_source=cloudlist
23,Apsynet,['01 55 17 21 31'],"Rue Carpeaux, 78500 Sartrouville, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/apsynet/,contacts@apsynet.com,https://www.apsynet.fr/
24,Siemens,['04 37 69 72 30'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/siemens-2/,,https://www.sw.siemens.com/fr-FR/
25,Twimm,['+33 1 40 93 99 50'],"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/twimm/,contact@twipi-group.com,https://twipi-group.com/solution/twimm-la-gmao-experte-et-mobile-des-prestataires/
26,Aveva,['01 58 64 14 40'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/aveva/,,https://www.aveva.com/
27,Actito,['+33 185763090'],"11 Rue Du Faubourg Poissonnière, 75009 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/actito/,,https://www.actito.com/fr-BE/
28,New Relic,['01 87 16 13 24'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/new-relic/,,https://newrelic.com/fr
29,Goaland,['0140101999'],155 Rue du Docteur Bauer,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/goaland/,hello@goaland.com,https://www.goaland.fr/
30,Autodesk,['01 87 16 13 24'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/autodesk/,,https://www.autodesk.fr/
31,Informatica,['+33 01 42 04 89 00'],16 Place de l'Iris Courbevoie,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/informatica/,,https://www.informatica.com/fr/
32,Cegid,['+33 (0) 811 88 48 88'],25-27 Rue d'Astorg,https://www.cloudlist.fr/annuaire/editeurs/erp/cegid/,,https://www.cegid.com/fr/
33,Oalia,['+33 (0)1 74 70 16 16'],"38 Boulevard Henri Sellier, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/oalia/,contact@oalia.com,https://www.oalia.com
34,Talend,['01 46 25 06 00'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/talend/,,https://www.talend.com/fr/
35,inRiver,['https://www.inriver.com/about/contact/'],,https://www.cloudlist.fr/annuaire/editeurs/cloud/inriver/,,https://www.inriver.com/
36,KLS Group,,,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/kls-group/,,https://www.kls-group.fr/
37,Plezi,['01 83 81 51 85'],"Rue Des Archives, 75004 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/plezi/,,https://www.plezi.co/fr/
38,"Kantree, booste la collaboration à travers toute votre entreprise",['09 72 55 06 44'],"10 Rue De Penthièvre, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/sirh/kantree-booste-la-collaboration-a-travers-toute-votre-entreprise/,lorene@kantree.io,https://kantree.io/fr
39,DOMMS,['09 72 50 02 77'],24 rue du corps franc pommies,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/domms/,postmaster@ovalietech.com,http://www.domms.fr
40,Dynatrace,['04 26 10 95 55'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/dynatrace/,,https://www.dynatrace.fr/
41,Toolcie,,Comba Borel 7,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/toolcie-logiciel-de-devis-et-facturation/,,https://toolcie.com/
42,Opscidia,['0652283728'],"12 Rue Anselme, 93400 Saint-Ouen-sur-Seine, France",https://www.cloudlist.fr/annuaire/editeurs/big-data/opscidia/,roxane.depauw@opscidia.com,https://www.opscidia.com/fr/
43,Flag | Orisha,['+33494089460'],"301 Littoral Frédéric Mistral, 83000 Toulon, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/flag-orisha/,contact.flag@orisha.com,https://flag-systemes.com/
44,Visiativ,['04 78 87 60 34'],Auvergne-Rhône-Alpes,https://www.cloudlist.fr/annuaire/editeurs/cloud/visiativ/,digital@visiativ.com,https://www.visiativ.com/
45,Nemetschek,['+49 89 540459-0'],,https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/nemetschek/,,https://www.nemetschek.com/en
46,Logiciel de GMAO allMAINT,['0555466506'],"France, Nouvelle-Aquitaine",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/logiciel-de-gmao-allmaint/,info@allmaint.com,https://www.allmaint.com/
47,DOCUWARE,['0157190323'],17 RUE DU COLISEE,https://www.cloudlist.fr/annuaire/editeurs/cloud/docuware-2/,infoline@docuware.com,https://start.docuware.com/fr/
48,Belharra Numérique,['0559704070'],"155 Impasse Oihana, 64200 Bassussarry, France",https://www.cloudlist.fr/annuaire/editeurs/conseil-et-services/belharra-numerique/,,http://www.belharra.fr
49,Kwanzeo,,12 rue des Jeûneurs,https://www.cloudlist.fr/annuaire/editeurs/big-data/kwanzeo-lesn-specialiste-en-cloud-et-en-data-intelligence/,,https://kwanzeo.com
50,NovaBricks – Plateforme No-Code / Low-Code,['09 72 39 49 85'],"165 Avenue De Bretagne, 59000 Lille, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/novabricks-plateforme-no-code-low-code/,contact@novabricks.com,https://www.novabricks.com/
51,Parthena Consultant,['01 40 95 30 41'],"305 Avenue Le Jour-Se-Lève, 92100 Boulogne-Billancourt, France",https://www.cloudlist.fr/annuaire/editeurs/sirh/parthena-consultant/,,https://www.parthena.com/fr/
52,Ishinomakiya,['+33340537948'],"10 Rue De Penthièvre, 75008 Paris, France",https://www.cloudlist.fr/annuaire/editeurs/cloud/ishinomakiya/,margot@ishinomakiya.com,https://ishinomakiya.com
53,Votim,['+33 1 40 99 93 50'],"8 rue de Saint Cloud, 92150 Suresnes, France",https://www.cloudlist.fr/annuaire/editeurs/logiciels-metiers/votim/,contact@twipi-group.com,https://twipi-group.com/solution/votim-simplifiez-et-accelerez-vos-assemblees-generales-de-copropriete/
